species_id,scientific_name,is_rare,n_total,n_train
1416509,Nepenthes vieillardii Hook. f.,True,30,20
1419807,Vanilla planifolia Jacks. ex Andrews,True,33,23
1376703,Petiveria alliacea L.,True,38,28
1409195,Pereskia aculeata Mill.,True,47,33
1408557,Pongamia pinnata (L.) Pierre,True,52,36
1420787,Alocasia odora (Lindl.) K.Koch,True,54,38
1406486,Kigelia africana (Lam.) Benth.,True,55,37
1408490,Pereskia grandifolia Haw.,True,58,40
1385700,Barringtonia asiatica (L.) Kurz,True,67,47
1356076,Tradescantia zebrina Heynh. ex Bosse,True,69,49
1397598,Cobaea scandens Cav.,True,69,49
1618661,Dendrobium victoriae-reginae Loher,True,71,51
1384499,Lagenaria siceraria (Molina) Standl.,True,80,56
1406863,Acalypha indica L.,True,92,66
1392654,Gomphocarpus physocarpus E.Mey.,True,99,71
1356037,Egeria densa Planch.,False,17,13
1367938,Acacia drepanolobium Harms ex Y. Sjöstedt,False,17,13
1412412,Lactuca biennis (Moench) Fernald,False,17,13
1355955,Pelargonium odoratissimum (L.) L'Hér.,False,18,14
1358302,Fibigia clypeata (L.) Medik.,False,18,14
1367267,Crotalaria polysperma Kotschy,False,18,14
1373231,Pelargonium quinquelobatum Hochst. ex A. Rich.,False,18,12
1374448,Aspilia mossambicensis (Oliv.) Wild,False,18,14
1394580,Angelica razulii Gouan,False,18,14
1409834,Neolamarckia cadamba (Roxb.) Bosser,False,18,14
1441375,Cirsium horridulum Michx.,False,18,14
1358097,Sedum andegavense (DC.) Desv.,False,19,13
1374933,Montanoa hibiscifolia Benth.,False,19,13
1419942,Hebe franciscana (Eastw.) Souster,False,19,13
1363019,Cenchrus purpureus (Schumach.) Morrone,False,20,12
1394995,Pyracantha rogersiana (A.B.Jacks.) Coltm.-Rog.,False,20,14
1413013,Aralia racemosa L.,False,21,13
1434326,Lupinus texensis Hook.,False,21,15
1363688,Crotalaria juncea L.,False,22,16
1391113,Chaerophyllum villarsii W.D.J.Koch,False,22,16
1397550,Sedum montanum Perrier & Songeon,False,22,16
1408451,Paederia foetida L.,False,22,16
1373151,Pelargonium alchemilloides (L.) L'Hér.,False,24,16
1391967,Epipactis purpurata Sm.,False,24,18
1363489,Phalaris aquatica L.,False,26,18
1391190,Cirsium dissectum (L.) Hill,False,26,18
1421001,Pelargonium spp.,False,26,18
1393253,Hypericum nummularium L.,False,27,19
1433158,Hypericum hypericoides (L.) Crantz,False,27,17
1441349,Cirsium altissimum (L.) Hill,False,27,17
1358096,Sedum amplexicaule DC.,False,28,20
1359332,Lupinus micranthus Guss.,False,28,18
1393245,Hypericum elodes L.,False,28,20
1568914,Acacia saligna (Labill.) Wendl.,False,28,20
1357681,Lactuca saligna L.,False,29,21
1363872,Barbarea intermedia Boreau,False,30,20
1359528,Trifolium subterraneum L.,False,31,21
1362080,Nymphaea lotus L.,False,31,23
1392690,Hebe brachysiphon Summerh.,False,31,23
1360427,Oldenlandia corymbosa L.,False,32,24
1370279,Gymnosporia putterlickioides Loes.,False,32,22
1379513,Hypericum annulatum Moris,False,32,24
1363463,Cenchrus ciliaris L.,False,33,23
1419086,Garrya elliptica Douglas ex Lindl.,False,33,23
1406426,Crotalaria pallida Aiton,False,35,25
1392653,Gomphocarpus fruticosus (L.) R.Br.,False,37,25
1363772,Acacia pycnantha Benth.,False,38,26
1394508,Anemone trifolia L.,False,38,28
1392093,Erucastrum gallicum (Willd.) O.E.Schulz,False,39,27
1409746,Lactuca floridana (L.) Gaertn.,False,39,29
1412413,Lactuca canadensis L.,False,40,28
1412662,Maianthemum stellatum (L.) Link,False,40,28
1397349,Chaerophyllum bulbosum L.,False,41,29
1398130,Hypericum olympicum L.,False,41,29
1358704,Hypericum montanum L.,False,43,29
1359510,Trifolium ochroleucon Huds.,False,45,33
1403826,Pereskia bleo (Kunth) DC.,False,45,31
1413391,Pyracantha coccinea M. Roem.,False,45,33
1391250,Cirsium tuberosum (L.) All.,False,48,34
1393823,Mercurialis tomentosa L.,False,48,34
1394383,Pancratium illyricum L.,False,48,34
1434011,Liriope muscari (Decne.) L.H. Bailey,False,49,35
1420792,Daphne odora Thunb.,False,51,35
1389966,Cenchrus longisetus M.C.Johnst.,False,52,36
1408214,Hypericum lanceolatum Lam.,False,52,36
1389567,Acacia saligna (Labill.) H.L.Wendl.,False,53,37
1391648,Daphne alpina L.,False,53,37
1399920,Angelica atropurpurea L.,False,53,37
1402811,Crotalaria retusa L.,False,53,37
1413757,Sedum ternatum Michx.,False,53,37
1418984,Lupinus albifrons Benth.,False,57,39
1412410,Anemone virginiana L.,False,58,40
1664348,Hepatica nobilis Mill.,False,58,40
1408979,Fragaria chiloensis (L.) Mill.,False,59,43
1358760,Lavandula multifida L.,False,61,41
1400104,Acacia baileyana F.Muell.,False,61,43
1412697,Mertensia maritima (L.) Gray,False,62,44
1411760,Diervilla lonicera Mill.,False,65,47
1393257,Hypericum richeri Vill.,False,66,46
1358099,Sedum brevifolium DC.,False,67,47
1358132,Sedum rubens L.,False,67,47
1363703,Lupinus albus L.,False,68,46
1395722,Sagittaria sagittifolia L.,False,69,47
1412833,Nymphaea odorata Aiton,False,69,47
1394455,Pelargonium peltatum (L.) Aiton,False,70,48
1392361,Fragaria moschata Weston,False,71,49
1397305,Alcea biennis Winterl,False,71,51
1391110,Chaerophyllum aureum L.,False,72,50
1397491,Sedum atratum L.,False,72,50
1358749,Lamium flexuosum Ten.,False,73,51
1389492,Tagetes tenuifolia Cav.,False,73,51
1398274,Adenostyles leucophylla (Willd.) Rchb.,False,73,51
1363700,Lupinus luteus L.,False,74,50
1411834,Duchesnea indica (Andrews) Teschem.,False,75,53
1393981,Nymphoides peltata (S.G.Gmel.) Kuntze,False,76,54
1389553,Acacia melanoxylon R.Br.,False,78,54
1398447,Aralia elata (Miq.) Seem.,False,78,56
1356469,Achyranthes aspera L.,False,80,56
1363491,Phalaris canariensis L.,False,80,56
1393850,Moehringia muscosa L.,False,80,56
1393254,Hypericum pulchrum L.,False,81,57
1389630,Perovskia abrotanoides Kar.,False,82,58
1392096,Erucastrum nasturtiifolium (Poir.) O.E.Schulz,False,82,56
1393789,Melilotus altissimus Thuill.,False,82,56
1393980,Nymphaea candida C.Presl,False,82,56
1395721,Sagittaria latifolia Willd.,False,83,57
1516297,Othonna capensis L.H.Bailey,False,84,58
1357331,Calendula stellata Cav.,False,85,59
1358103,Sedum cepaea L.,False,85,59
1550692,Pelargonium × hortorum L.H. Bailey,False,86,62
1358101,Sedum caeruleum L.,False,87,61
1356901,Moehringia trinervia (L.) Clairv.,False,88,62
1646149,Hebe andersonii (Lindl. & J. Paxton) Cockayne,False,89,63
1357506,Cirsium monspessulanum (L.) Hill,False,91,63
1399231,Lamium orvala L.,False,93,65
1364158,Tagetes minuta L.,False,95,67
1392658,Guizotia abyssinica (L.f.) Cass.,False,95,67
1364000,Duchesnea indica (Jacks.) Focke,False,96,68
1358112,Sedum hirsutum All.,False,97,67
1364161,Calendula arvensis (Vaill.) L.,False,99,69
1363770,Acacia mearnsii De Wild.,False,100,70
1396161,Sedum ochroleucum Chaix,False,102,72
1408788,Trimezia martinicensis (Jacq.) Herb.,False,102,72
1394405,Papaver pseudoorientale (Fedde) Medw.,False,103,73
1372016,Morinda citrifolia L.,False,104,72
1392689,Hebe andersonii (Lindl. & Paxton) Cockayne,False,104,72
1393654,Lupinus arboreus Sims,False,104,72
1360618,Berula erecta (Huds.) Coville,False,105,75
1360835,Centranthus calcitrapae (L.) Dufr.,False,105,73
1393418,Lactuca viminea (L.) J.Presl & C.Presl,False,105,73
1363769,Acacia longifolia (Andrews) Willd.,False,106,74
1391235,Cirsium rivulare (Jacq.) All.,False,108,76
1391868,Empetrum nigrum L.,False,108,76
1419115,Pelargonium x hortorum L.H. Bailey,False,108,76
1529242,Sedum makinoi Maxim.,False,109,77
