exp_id,k,p,loss,gamma,es_monitor,C,R,condition,n_seeds,rare_f1_mean,rare_f1_std,rare_recall_mean,rare_recall_std,rare_precision_mean,rare_precision_std,overall_f1_mean,overall_f1_std,overall_acc_mean,overall_acc_std
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,1.0,0.5,focal,2.0,rare_f1,121.0,96.0,A,3,0.653696734678585,0.019727516305720463,,0.0,,0.0,0.6279077663668681,0.003584497599863613,,0.0
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,1.0,0.5,focal,2.0,rare_f1,121.0,96.0,B,3,0.6444281977880886,0.021478443090872976,,0.0,,0.0,0.6209872248178363,0.0228088880715593,,0.0
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,1.0,0.5,focal,2.0,rare_f1,121.0,96.0,C,3,0.6407034055843993,0.031244806616951153,,0.0,,0.0,0.6268463048979666,0.007601684693717861,,0.0
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,1.0,0.5,focal,2.0,rare_f1,121.0,96.0,D,3,0.652822561056911,0.04240343161024712,,0.0,,0.0,0.634084845367583,0.023680227457428468,,0.0
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,2.0,0.5,focal,2.0,rare_f1,121.0,96.0,A,3,0.653696734678585,0.019727516305720463,,0.0,,0.0,0.6279077663668681,0.003584497599863613,,0.0
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,2.0,0.5,focal,2.0,rare_f1,121.0,96.0,B,3,0.6540211959112213,0.03946925252113545,,0.0,,0.0,0.6420577884077332,0.020109055726241703,,0.0
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,2.0,0.5,focal,2.0,rare_f1,121.0,96.0,C,3,0.6417426901804346,0.015970287521334815,,0.0,,0.0,0.6250180304823831,0.011699199774317704,,0.0
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,2.0,0.5,focal,2.0,rare_f1,121.0,96.0,D,3,0.6261792471074827,0.027204852450440655,,0.0,,0.0,0.6251192423939959,0.004673631662675444,,0.0
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,0.5,0.5,focal,2.0,rare_f1,121.0,96.0,A,3,0.653696734678585,0.019727516305720463,,0.0,,0.0,0.6279077663668681,0.003584497599863613,,0.0
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,0.5,0.5,focal,2.0,rare_f1,121.0,96.0,B,3,0.6469843904606747,0.03738583657470045,,0.0,,0.0,0.6107482439268017,0.029728683108717846,,0.0
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,0.5,0.5,focal,2.0,rare_f1,121.0,96.0,C,3,0.6211120295493074,0.022528196499460713,,0.0,,0.0,0.6170895297073503,0.006384280866416997,,0.0
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,0.5,0.5,focal,2.0,rare_f1,121.0,96.0,D,3,0.6410146157116065,0.01516627958453499,,0.0,,0.0,0.6393077922874053,0.009525359196770536,,0.0
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,1.0,0.5,focal,2.0,overall_f1,121.0,96.0,A,3,0.6448837471119878,0.03242596374173512,0.6500196716863383,0.03551459293736552,0.6743570300433045,0.04339098445945154,0.628121672118127,0.0021445576380119263,0.7136659436008678,0.0015642304882706925
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,1.0,0.5,focal,2.0,overall_f1,121.0,96.0,B,3,0.6420444912850878,0.021144884605241093,0.6905711572378239,0.011053106450055552,0.6220461953098692,0.03615324017210511,0.6317295366848588,0.005203847582050437,0.7175704989154014,0.003443494114183855
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,1.0,0.5,focal,2.0,overall_f1,121.0,96.0,C,3,0.616821820912302,0.021379496628999975,0.6413485280151946,0.021538571645684984,0.6273440140106806,0.011656549742454909,0.6199106489497691,0.007757971638786089,0.706290672451193,0.008127980041299443
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,1.0,0.5,focal,2.0,overall_f1,121.0,96.0,D,3,0.6617914997991201,0.00481783538860931,0.6816218966218967,0.01188869507062483,0.6611085275997556,0.008309728081938859,0.6331808502539279,0.0015400829494227441,0.7203181489515545,0.0012523867010620726
