species_id,scientific_name,organ,rel
1416509,Nepenthes vieillardii Hook. f.,leaf,samples/1416509/0.jpg
1416509,Nepenthes vieillardii Hook. f.,flower,samples/1416509/1.jpg
1416509,Nepenthes vieillardii Hook. f.,leaf,samples/1416509/2.jpg
1419807,Vanilla planifolia Jacks. ex Andrews,leaf,samples/1419807/0.jpg
1419807,Vanilla planifolia Jacks. ex Andrews,leaf,samples/1419807/1.jpg
1419807,Vanilla planifolia Jacks. ex Andrews,leaf,samples/1419807/2.jpg
1376703,Petiveria alliacea L.,leaf,samples/1376703/0.jpg
1376703,Petiveria alliacea L.,leaf,samples/1376703/1.jpg
1376703,Petiveria alliacea L.,flower,samples/1376703/2.jpg
1409195,Pereskia aculeata Mill.,flower,samples/1409195/0.jpg
1409195,Pereskia aculeata Mill.,leaf,samples/1409195/1.jpg
1409195,Pereskia aculeata Mill.,leaf,samples/1409195/2.jpg
1408557,Pongamia pinnata (L.) Pierre,leaf,samples/1408557/0.jpg
1408557,Pongamia pinnata (L.) Pierre,leaf,samples/1408557/1.jpg
1408557,Pongamia pinnata (L.) Pierre,leaf,samples/1408557/2.jpg
1420787,Alocasia odora (Lindl.) K.Koch,leaf,samples/1420787/0.jpg
1420787,Alocasia odora (Lindl.) K.Koch,leaf,samples/1420787/1.jpg
1420787,Alocasia odora (Lindl.) K.Koch,leaf,samples/1420787/2.jpg
1406486,Kigelia africana (Lam.) Benth.,leaf,samples/1406486/0.jpg
1406486,Kigelia africana (Lam.) Benth.,flower,samples/1406486/1.jpg
1406486,Kigelia africana (Lam.) Benth.,leaf,samples/1406486/2.jpg
1408490,Pereskia grandifolia Haw.,leaf,samples/1408490/0.jpg
1408490,Pereskia grandifolia Haw.,flower,samples/1408490/1.jpg
1408490,Pereskia grandifolia Haw.,flower,samples/1408490/2.jpg
1385700,Barringtonia asiatica (L.) Kurz,flower,samples/1385700/0.jpg
1385700,Barringtonia asiatica (L.) Kurz,flower,samples/1385700/1.jpg
1385700,Barringtonia asiatica (L.) Kurz,flower,samples/1385700/2.jpg
1356076,Tradescantia zebrina Heynh. ex Bosse,leaf,samples/1356076/0.jpg
1356076,Tradescantia zebrina Heynh. ex Bosse,leaf,samples/1356076/1.jpg
1356076,Tradescantia zebrina Heynh. ex Bosse,leaf,samples/1356076/2.jpg
1397598,Cobaea scandens Cav.,flower,samples/1397598/0.jpg
1397598,Cobaea scandens Cav.,flower,samples/1397598/1.jpg
1397598,Cobaea scandens Cav.,leaf,samples/1397598/2.jpg
1618661,Dendrobium victoriae-reginae Loher,flower,samples/1618661/0.jpg
1618661,Dendrobium victoriae-reginae Loher,flower,samples/1618661/1.jpg
1618661,Dendrobium victoriae-reginae Loher,flower,samples/1618661/2.jpg
1384499,Lagenaria siceraria (Molina) Standl.,flower,samples/1384499/0.jpg
1384499,Lagenaria siceraria (Molina) Standl.,flower,samples/1384499/1.jpg
1384499,Lagenaria siceraria (Molina) Standl.,flower,samples/1384499/2.jpg
1406863,Acalypha indica L.,leaf,samples/1406863/0.jpg
1406863,Acalypha indica L.,leaf,samples/1406863/1.jpg
1406863,Acalypha indica L.,leaf,samples/1406863/2.jpg
1392654,Gomphocarpus physocarpus E.Mey.,leaf,samples/1392654/0.jpg
1392654,Gomphocarpus physocarpus E.Mey.,flower,samples/1392654/1.jpg
1392654,Gomphocarpus physocarpus E.Mey.,flower,samples/1392654/2.jpg
