species_id,scientific_name,is_rare,n_train,label,n_train_after
1363019,Cenchrus purpureus (Schumach.) Morrone,False,12,36,12
1373231,Pelargonium quinquelobatum Hochst. ex A. Rich.,False,12,60,12
1356037,Egeria densa Planch.,False,13,1,13
1374933,Montanoa hibiscifolia Benth.,False,13,62,13
1367938,Acacia drepanolobium Harms ex Y. Sjöstedt,False,13,55,13
1412412,Lactuca biennis (Moench) Fernald,False,13,158,13
1419942,Hebe franciscana (Eastw.) Souster,False,13,178,13
1358097,Sedum andegavense (DC.) Desv.,False,13,11,13
1413013,Aralia racemosa L.,False,13,167,13
1409834,Neolamarckia cadamba (Roxb.) Bosser,False,14,152,14
1441375,Cirsium horridulum Michx.,False,14,188,14
1355955,Pelargonium odoratissimum (L.) L'Hér.,False,14,0,14
1358302,Fibigia clypeata (L.) Medik.,False,14,17,14
1367267,Crotalaria polysperma Kotschy,False,14,54,14
1374448,Aspilia mossambicensis (Oliv.) Wild,False,14,61,14
1394580,Angelica razulii Gouan,False,14,111,14
1394995,Pyracantha rogersiana (A.B.Jacks.) Coltm.-Rog.,False,14,112,14
1434326,Lupinus texensis Hook.,False,15,186,15
1373151,Pelargonium alchemilloides (L.) L'Hér.,False,16,59,16
1391113,Chaerophyllum villarsii W.D.J.Koch,False,16,77,16
1397550,Sedum montanum Perrier & Songeon,False,16,125,16
1408451,Paederia foetida L.,False,16,144,16
1363688,Crotalaria juncea L.,False,16,43,16
1441349,Cirsium altissimum (L.) Hill,False,17,187,17
1433158,Hypericum hypericoides (L.) Crantz,False,17,184,17
1421001,Pelargonium spp.,False,18,182,18
1391967,Epipactis purpurata Sm.,False,18,84,18
1359332,Lupinus micranthus Guss.,False,18,25,18
1391190,Cirsium dissectum (L.) Hill,False,18,78,18
1363489,Phalaris aquatica L.,False,18,41,18
1393253,Hypericum nummularium L.,False,19,94,19
1416509,Nepenthes vieillardii Hook. f.,True,20,171,20
1568914,Acacia saligna (Labill.) Wendl.,False,20,196,20
1363872,Barbarea intermedia Boreau,False,20,50,20
1358096,Sedum amplexicaule DC.,False,20,10,20
1393245,Hypericum elodes L.,False,20,93,20
1357681,Lactuca saligna L.,False,21,9,21
1359528,Trifolium subterraneum L.,False,21,27,21
1370279,Gymnosporia putterlickioides Loes.,False,22,56,22
1362080,Nymphaea lotus L.,False,23,33,23
1419086,Garrya elliptica Douglas ex Lindl.,False,23,174,23
1419807,Vanilla planifolia Jacks. ex Andrews,True,23,177,23
1392690,Hebe brachysiphon Summerh.,False,23,92,23
1363463,Cenchrus ciliaris L.,False,23,40,23
1379513,Hypericum annulatum Moris,False,24,65,24
1360427,Oldenlandia corymbosa L.,False,24,29,24
1392653,Gomphocarpus fruticosus (L.) R.Br.,False,25,88,25
1406426,Crotalaria pallida Aiton,False,25,140,25
1363772,Acacia pycnantha Benth.,False,26,49,26
1392093,Erucastrum gallicum (Willd.) O.E.Schulz,False,27,85,27
1376703,Petiveria alliacea L.,True,28,63,28
1394508,Anemone trifolia L.,False,28,110,28
1412662,Maianthemum stellatum (L.) Link,False,28,162,28
1412413,Lactuca canadensis L.,False,28,159,28
1397349,Chaerophyllum bulbosum L.,False,29,123,29
1409746,Lactuca floridana (L.) Gaertn.,False,29,151,29
1358704,Hypericum montanum L.,False,29,21,29
1398130,Hypericum olympicum L.,False,29,128,29
1403826,Pereskia bleo (Kunth) DC.,False,31,137,31
1359510,Trifolium ochroleucon Huds.,False,33,26,33
1409195,Pereskia aculeata Mill.,True,33,150,33
1413391,Pyracantha coccinea M. Roem.,False,33,168,33
1391250,Cirsium tuberosum (L.) All.,False,34,81,34
1393823,Mercurialis tomentosa L.,False,34,100,34
1394383,Pancratium illyricum L.,False,34,106,34
1434011,Liriope muscari (Decne.) L.H. Bailey,False,35,185,35
1420792,Daphne odora Thunb.,False,35,181,35
1408557,Pongamia pinnata (L.) Pierre,True,36,146,36
1389966,Cenchrus longisetus M.C.Johnst.,False,36,75,36
1408214,Hypericum lanceolatum Lam.,False,36,143,36
1389567,Acacia saligna (Labill.) H.L.Wendl.,False,37,73,37
1391648,Daphne alpina L.,False,37,82,37
1413757,Sedum ternatum Michx.,False,37,169,37
1406486,Kigelia africana (Lam.) Benth.,True,37,141,37
1399920,Angelica atropurpurea L.,False,37,133,37
1402811,Crotalaria retusa L.,False,37,136,37
1420787,Alocasia odora (Lindl.) K.Koch,True,38,180,38
1418984,Lupinus albifrons Benth.,False,39,173,39
1412410,Anemone virginiana L.,False,40,157,40
1408490,Pereskia grandifolia Haw.,True,40,145,40
1664348,Hepatica nobilis Mill.,False,40,199,40
1358760,Lavandula multifida L.,False,41,24,41
1400104,Acacia baileyana F.Muell.,False,43,135,43
1408979,Fragaria chiloensis (L.) Mill.,False,43,149,43
1412697,Mertensia maritima (L.) Gray,False,44,163,44
1393257,Hypericum richeri Vill.,False,46,96,46
1363703,Lupinus albus L.,False,46,45,46
1385700,Barringtonia asiatica (L.) Kurz,True,47,67,47
