exp_id,C,R,n_classes,shape,k,p,combine,loss,cap,seeds,A_rare,B_rare,C_rare,D_rare,D_rare_std,dDA,dDB,dDC,notes,es_monitor,gamma,A_rec,D_rec,dDA_rec
exp_0001_Cmedian_gap_pow_p0.5_mid_focal,121.0,96.0,200,gap_pow,1.0,0.5,mid,focal,True,"[42, 0, 1]",0.6537,0.6444,0.6407,0.6528,0.0424,-0.0008999999999999,0.0084,0.0121,"baseline run: sqrt budget, R=mid, focal g2",rare_f1,,,,
exp_0002_Cmedian_gap_pow_k2.0_p0.5_mid_focal,121.0,96.0,200,gap_pow,2.0,0.5,mid,focal,True,"[42, 0, 1]",0.6537,0.654,0.6417,0.6262,0.0272,-0.0274999999999999,-0.0278,-0.0155,"exp2: k=2 budget x2, R=mid, focal g2",rare_f1,,,,
exp_0003_Cmedian_gap_pow_k0.5_p0.5_mid_focal,121.0,96.0,200,gap_pow,0.5,0.5,mid,focal,True,"[42, 0, 1]",0.6537,0.647,0.6211,0.641,0.0152,-0.0126999999999999,-0.006,0.0199,"exp3: k=0.5, R=mid, focal g2",rare_f1,,,,
exp_0004_Cmedian_gap_pow_k1.0_p0.5_mid_focal,121.0,96.0,200,gap_pow,1.0,0.5,mid,focal,True,"[42, 0, 1]",0.6449,0.642,0.6168,0.6618,0.0048,0.0169,0.0198,0.045,"es=overall_f1, k=1, R=mid, focal g2",overall_f1,2.0,0.65,0.6816,0.0315999999999999
exp_0005_Cmedian_gap_pow_k2.0_p0.5_mid_focal,121.0,96.0,200,gap_pow,2.0,0.5,mid,focal,True,"[42, 0, 1]",0.6449,0.6323,0.6264,0.6284,0.0333,-0.0165,-0.0039,0.002,"es=overall_f1, k=2, R=mid, focal g2",overall_f1,2.0,0.65,0.6621,0.0121
exp_0006_Cmedian_gap_pow_k0.5_p0.5_mid_focal,121.0,96.0,200,gap_pow,0.5,0.5,mid,focal,True,"[42, 0, 1]",0.6449,0.6372,0.6297,0.65,0.0148,0.0050999999999999,0.0128,0.0202999999999999,"es=overall_f1, k=0.5, R=mid, focal g2",overall_f1,2.0,0.65,0.6571,0.0070999999999999
exp_0007_Cmedian_gap_pow_k1.0_p0.5_mid_focalg1.0,121.0,96.0,200,gap_pow,1.0,0.5,mid,focal,True,"[42, 0, 1]",0.6397,0.6521,0.6519,0.666,0.0434,0.0262999999999999,0.0139,0.0141,"es=overall_f1, k=1, R=mid, focal g1",overall_f1,1.0,0.6397,0.702,0.0622999999999999
exp_0008_Cmedian_gap_pow_k1.0_p0.5_mid_ce,121.0,96.0,200,gap_pow,1.0,0.5,mid,ce,True,"[42, 0, 1]",0.643,0.6656,0.6502,0.6486,0.0199,0.0055999999999999,-0.017,-0.0016,"es=overall_f1, k=1, R=mid, ce",overall_f1,,0.6372,0.6821,0.0449
exp_0009_Cmedian_gap_pow_k1.0_p0.5_mid_focalg3.0,121.0,96.0,200,gap_pow,1.0,0.5,mid,focal,True,"[42, 0, 1]",0.6326,0.6369,0.6404,0.6558,0.0087,0.0232,0.0189,0.0154,"es=overall_f1, k=1, R=mid, focal g3",overall_f1,3.0,0.6348,0.6854,0.0505999999999999
exp_0010_Cmedian_gap_pow_k1.0_p0.5_mid_focalg2.0,121.0,96.0,200,gap_pow,1.0,0.5,mid,focal,True,[42],0.613,0.6587,0.6058,0.6563,,0.043300000000000005,-0.0023999999999999577,0.05049999999999999,"deploy ckpt: k=1, g2, seed 42 only",overall_f1,2.0,0.6099,0.6788,0.06889999999999996
