name,n_train,A_f1,B_f1,C_f1,D_f1,d_vs_A,d_vs_B,d_vs_C
Petiveria alliacea L.,28,0.6666666666666666,0.6,0.2857142857142857,0.2857142857142857,-0.38095238095238093,-0.3142857142857143,0.0
Pereskia grandifolia Haw.,40,0.7058823529411765,0.6666666666666666,0.5714285714285714,0.3333333333333333,-0.3725490196078432,-0.3333333333333333,-0.23809523809523808
Pereskia aculeata Mill.,33,0.46153846153846156,0.3333333333333333,0.3333333333333333,0.2,-0.26153846153846155,-0.1333333333333333,-0.1333333333333333
Vanilla planifolia Jacks. ex Andrews,23,0.75,0.8,0.2857142857142857,0.5714285714285714,-0.1785714285714286,-0.22857142857142865,0.2857142857142857
Kigelia africana (Lam.) Benth.,37,0.625,0.5,0.3157894736842105,0.5,-0.125,0.0,0.1842105263157895
Cobaea scandens Cav.,49,0.8888888888888888,0.8888888888888888,0.7619047619047619,0.8,-0.0888888888888888,-0.0888888888888888,0.03809523809523818
Gomphocarpus physocarpus E.Mey.,71,0.7857142857142857,0.7222222222222222,0.8461538461538461,0.7333333333333333,-0.05238095238095242,0.011111111111111072,-0.11282051282051286
Alocasia odora (Lindl.) K.Koch,38,0.5454545454545454,0.16666666666666666,0.46153846153846156,0.5,-0.045454545454545414,0.33333333333333337,0.038461538461538436
Dendrobium victoriae-reginae Loher,51,0.6666666666666666,0.7368421052631579,0.5263157894736842,0.631578947368421,-0.03508771929824561,-0.10526315789473684,0.10526315789473684
Barringtonia asiatica (L.) Kurz,47,0.7368421052631579,0.631578947368421,0.5333333333333333,0.7058823529411765,-0.030959752321981338,0.0743034055727555,0.1725490196078432
Tradescantia zebrina Heynh. ex Bosse,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepenthes vieillardii Hook. f.,20,0.8888888888888888,0.8,0.9090909090909091,0.8888888888888888,0.0,0.0888888888888888,-0.02020202020202022
Acalypha indica L.,66,0.6363636363636364,0.75,0.34782608695652173,0.6666666666666666,0.030303030303030276,-0.08333333333333337,0.3188405797101449
Lagenaria siceraria (Molina) Standl.,56,0.7272727272727273,0.7368421052631579,0.8181818181818182,0.7619047619047619,0.03463203463203457,0.02506265664160401,-0.05627705627705637
Pongamia pinnata (L.) Pierre,36,0.5714285714285714,0.5714285714285714,0.5333333333333333,0.6153846153846154,0.04395604395604402,0.04395604395604402,0.08205128205128209
